italy ItLoad=34827,ItSolarGen=1089 1451995200000000000
italy ItLoad=35046,ItSolarGen=575 1451998800000000000
italy ItLoad=36284,ItSolarGen=103 1452002400000000000
italy ItLoad=38962,ItSolarGen=29 1452006000000000000
italy ItLoad=38918,ItSolarGen=29 1452009600000000000
italy ItLoad=37882,ItSolarGen=29 1452013200000000000
italy ItLoad=35362,ItSolarGen=29 1452016800000000000
italy ItLoad=32772,ItSolarGen=29 1452020400000000000
italy ItLoad=29149,ItSolarGen=29 1452024000000000000
italy ItLoad=26476,ItSolarGen=29 1452027600000000000
italy ItLoad=24004,ItSolarGen=1 1452031200000000000
italy ItLoad=22129,ItSolarGen=1 1452034800000000000
italy ItLoad=21058,ItSolarGen=1 1452038400000000000
italy ItLoad=20533,ItSolarGen=1 1452042000000000000
italy ItLoad=20421,ItSolarGen=0 1452045600000000000
italy ItLoad=20760,ItSolarGen=0 1452049200000000000
italy ItLoad=22228,ItSolarGen=0 1452052800000000000
italy ItLoad=23734,ItSolarGen=4 1452056400000000000
italy ItLoad=25157,ItSolarGen=170 1452060000000000000
italy ItLoad=27298,ItSolarGen=645 1452063600000000000
italy ItLoad=28659,ItSolarGen=1331 1452067200000000000
italy ItLoad=29406,ItSolarGen=2171 1452070800000000000
italy ItLoad=29129,ItSolarGen=2631 1452074400000000000
italy ItLoad=27792,ItSolarGen=3237 1452078000000000000
italy ItLoad=26686,ItSolarGen=2584 1452081600000000000
italy ItLoad=26823,ItSolarGen=1357 1452085200000000000
italy ItLoad=27808,ItSolarGen=184 1452088800000000000
italy ItLoad=31507,ItSolarGen=30 1452092400000000000
italy ItLoad=32540,ItSolarGen=29 1452096000000000000
italy ItLoad=32867,ItSolarGen=29 1452099600000000000
italy ItLoad=31901,ItSolarGen=29 1452103200000000000
italy ItLoad=30389,ItSolarGen=29 1452106800000000000
italy ItLoad=27944,ItSolarGen=29 1452110400000000000
italy ItLoad=25452,ItSolarGen=29 1452114000000000000
italy ItLoad=23046,ItSolarGen=0 1452117600000000000
italy ItLoad=21226,ItSolarGen=0 1452121200000000000
italy ItLoad=20395,ItSolarGen=0 1452124800000000000
italy ItLoad=20269,ItSolarGen=0 1452128400000000000
italy ItLoad=20728,ItSolarGen=0 1452132000000000000
italy ItLoad=22606,ItSolarGen=0 1452135600000000000
italy ItLoad=28125,ItSolarGen=0 1452139200000000000
italy ItLoad=34490,ItSolarGen=23 1452142800000000000
italy ItLoad=39012,ItSolarGen=1016 1452146400000000000
italy ItLoad=41072,ItSolarGen=2749 1452150000000000000
italy ItLoad=41314,ItSolarGen=4395 1452153600000000000
italy ItLoad=40817,ItSolarGen=4991 1452157200000000000
italy ItLoad=38317,ItSolarGen=4731 1452160800000000000
italy ItLoad=37663,ItSolarGen=3984 1452164400000000000
italy ItLoad=39228,ItSolarGen=2499 1452168000000000000
italy ItLoad=40219,ItSolarGen=1014 1452171600000000000
italy ItLoad=41651,ItSolarGen=133 1452175200000000000
italy ItLoad=44162,ItSolarGen=29 1452178800000000000
italy ItLoad=43039,ItSolarGen=29 1452182400000000000
italy ItLoad=41660,ItSolarGen=29 1452186000000000000
italy ItLoad=39227,ItSolarGen=29 1452189600000000000
italy ItLoad=36137,ItSolarGen=29 1452193200000000000
italy ItLoad=32432,ItSolarGen=29 1452196800000000000
italy ItLoad=28759,ItSolarGen=29 1452200400000000000
italy ItLoad=25739,ItSolarGen=1 1452204000000000000
italy ItLoad=23911,ItSolarGen=1 1452207600000000000
italy ItLoad=23010,ItSolarGen=1 1452211200000000000
italy ItLoad=22594,ItSolarGen=1 1452214800000000000
italy ItLoad=23020,ItSolarGen=0 1452218400000000000
italy ItLoad=24660,ItSolarGen=0 1452222000000000000
italy ItLoad=29565,ItSolarGen=0 1452225600000000000
italy ItLoad=35754,ItSolarGen=25 1452229200000000000
italy ItLoad=39973,ItSolarGen=451 1452232800000000000
italy ItLoad=41391,ItSolarGen=1394 1452236400000000000
italy ItLoad=41095,ItSolarGen=2245 1452240000000000000
italy ItLoad=40681,ItSolarGen=2768 1452243600000000000
italy ItLoad=39028,ItSolarGen=3604 1452247200000000000
italy ItLoad=38120,ItSolarGen=2949 1452250800000000000
